1,A1 Tyres,"Kensington Street, Keighley, BD21 1PW",BD21 1PW,53.8629,-1.91625,4/1/1990,3900,IF3,WORKSHOP AND PREMISES,10/1/2017,Y,Occupied,,,Small Business Rates Relief,1/10/2017,,,,,, ‹¨«-   ,
2,St John The Evangelist Academy,"St John Rc First School, Beacon Road, Bradford, BD6 3DQ",BD6 3DQ,53.77084,-1.80146,4/1/1990,25250,EL,SCHOOL AND PREMISES,10/1/2016,Y,Occupied,,,Mandatory Charity Relief,1/10/2016,,,,,," ‹¨«2,545.20 ",
3,Kehoe'S Limited,"The Venue, Park Lane, Bradford, BD5 0JL",BD5 0JL,53.78453,-1.75915,4/1/1990,6250,CL,PUBLIC HOUSE AND PREMISES,4/1/2016,,Empty,Empty Charge Retail,1/7/2016,,,,,,,," ‹¨«3,150.00 ",
4,Unit Q,"Blackshaw Mills, Halifax Road, Bradford, BD6 2HL",BD6 2HL,53.75757,-1.80099,4/1/1990,4250,IF3,WORKSHOP AND PREMISES,8/26/2019,Y,Occupied,,,Small Business Rates Relief,26/08/2019,,,,,, ‹¨«-   ,
5,Crossflatts Old People Association,"Community Centre, St Aidans Square, Crossflatts, Bingley, BD16 2BN",BD16 2BN,53.86139,-1.84458,4/1/1990,2800,LC,COMMUNITY CENTRE AND PREMISES,4/1/2011,Y,Occupied,,,Mandatory Charity Relief,1/4/2011,,,,,, ‹¨«282.24 ,
6,Bingley Chamber Of Trade And Commerce,"Store, Queens Court, Bingley, BD16 2LT",BD16 2LT,53.8485,-1.83902,4/1/1990,1475,CW3,STORE AND PREMISES,3/1/2017,Y,Occupied,,,Small Business Rates Relief,1/3/2017,,,,,, ‹¨«-   ,
7,Stables Rear Of,"62, Branksome Drive, Shipley, BD18 4BE",BD18 4BE,53.83643,-1.81159,4/1/1990,900,LX,STABLES AND PREMISES,1/3/1992,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
8,Cobley And Cockshott Ltd,"19, Bridge Street, Keighley, BD21 1AA",BD21 1AA,53.86508,-1.91071,4/1/1990,3550,CS,SHOP AND PREMISES,8/1/2006,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
9,The Bank,"Cleasby Road, Menston, Ilkley, LS29 6JE",LS29 6JE,53.89089,-1.73562,4/1/1990,3200,CS,SHOP AND PREMISES,12/4/2003,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
10,Santander Uk Plc,"Abbey National, 9, Nelson Street, Bradford, BD1 5AN",BD1 5AN,53.79037,-1.75136,1/14/1999,985000,CO,OFFICES AND PREMISES,1/14/1999,Y,Occupied,,,,,,,,,," ‹¨«594,986.43 ",
11,Bardsley Powell Estates,"4a, Little Horton Green, Bradford, BD5 0NG",BD5 0NG,53.78493,-1.76503,4/1/1990,1400,CW3,STORE AND PREMISES,9/1/2007,Y,Occupied,,,,,,,,,, ‹¨«678.17 ,
12,Salem Athletic Cricket Club,"Sports Ground, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,4/1/1990,5900,LS,SPORTS GROUND AND PREMISES,4/1/1990,Y,Occupied,,,Mandatory Sport Relief,18/09/2005,,,,,, ‹¨«594.72 ,
13,Lalas,"55, Toller Lane, Bradford, BD8 9DD",BD8 9DD,53.80468,-1.77985,4/1/1990,50500,CR,,12/1/2017,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«16,530.33 ",
14,Empire House Piccadilly Limited,"8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79558,-1.75335,5/1/1998,0,CO,OFFICES AND PREMISES,11/17/2017,,Empty,Exempt Listed Building,17/11/2017,,,,,,,, ‹¨«-   ,
15,Storage,"1st Floor, Drill Parade, Bradford, BD8 7HY",BD8 7HY,53.80294,-1.7621,4/1/1992,0,CW3,,7/18/2017,,Empty,Exempt below RV,2/6/2018,,,,,,,, ‹¨«-   ,
16,Tsb Banking Group Plc,"74-76, Towngate, Keighley, BD21 3QE",BD21 3QE,53.86757,-1.90727,4/1/1990,53000,CS1,BANK AND PREMISES,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«26,712.00 ",
17,Clifton Mill,"Upper Ground Floor, Clifton Street, Bradford, BD8 7DA",BD8 7DA,53.80571,-1.76263,1/30/1995,8500,CW,WAREHOUSE AND PREMISES,11/15/2016,Y,Occupied,,,Small Business Rates Relief,15/11/2016,,,,,, ‹¨«-   ,
18,Hbcl Coldstores Limited,"Unit 9, G B Business Park, Cutler Heights Lane, Bradford, BD4 9HZ",BD4 9HZ,53.78125,-1.71629,10/5/1992,29000,CW,WAREHOUSE AND PREMISES,10/29/2004,Y,Occupied,,,,,,,,,," ‹¨«14,239.00 ",
19,Tote Bookmakers Limited,"228, High Street, Wibsey, Bradford, BD6 1QP",BD6 1QP,53.76693,-1.77439,4/1/1990,7600,CS,SHOP AND PREMISES,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«3,731.60 ",
20,The Congregational Federation Limited,"405, Thornton Road, Thornton, Bradford, BD13 3JN",BD13 3JN,53.79046,-1.85362,2/17/1997,4650,CS,SHOP AND PREMISES,3/1/2015,Y,Occupied,,,Mandatory Charity Relief,27/07/2015,,,,,, ‹¨«468.72 ,
21,The Secretary Northcliffe Golf Club,"Northcliffe Golf Course, High Bank Lane, Shipley, BD18 4LJ",BD18 4LJ,53.82866,-1.79801,4/1/1990,42750,LS2,GOLF COURSE AND PREMISES,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«20,990.25 ",
22,S&M Kirkgate Limited,"6, Piccadilly, Bradford, BD1 3LW",BD1 3LW,53.79515,-1.75283,5/1/1998,12500,CO,OFFICES AND PREMISES,12/23/2011,,Empty,Exempt Listed Building,23/12/2011,,,,,,,, ‹¨«-   ,
23,Mahmoods (Franchising) Limited,"Unit 2, Red Oak House, Duncombe Street, Bradford, BD8 9AJ",BD8 9AJ,53.79679,-1.78167,7/3/1993,18500,CW,WAREHOUSE AND PREMISES,6/1/2016,,Empty,Exempt not Relevent Hereditament,9/5/2017,,,,,,,, ‹¨«-   ,
